main_artist
BTS
The Rolling Stones
Taylor Swift
Spice Girls
Coldplay
Jay-Z / Beyoncé
U2
Ed Sheeran
Paul McCartney
Guns N' Roses
Adele
Celine Dion
Helene Fischer
Billy Joel
Pink
Metallica
Eagles
Bruno Mars
Drake
Justin Bieber
Andrea Bocelli
Lady Gaga
Justin Timberlake
Springsteen On Broadway
Elton John
Muse
Phil Collins
Roger Waters
Kenny Chesney
Depeche Mode
Phish
Sandy & Junior
"""Springsteen On Broadway"""
Jennifer Lopez
"""Springsteen On Broadway"" / Bruce Springsteen"
Dead & Company
Fleetwood Mac
Britney Spears
Kanye West
Def Leppard / Journey
Black Sabbath
"Cirque du Soleil - ""Totem"""
Take That
Journey / Def Leppard
Jonas Brothers
Maroon 5
Tom Petty & The Heartbreakers
Eric Church
Queen + Adam Lambert
Arctic Monkeys
Shakira
Jay-Z
Cher
Michael Bublé
Luis Miguel
Foo Fighters
Bon Jovi
Red Hot Chili Peppers
Kendrick Lamar
Ariana Grande
Jeff Lynne's ELO
Tool
Bob Seger & The Silver Bullet Band
Katy Perry
Neil Diamond
Marc Anthony
Elton John / James Taylor
Backstreet Boys
Iron Maiden
Luke Bryan
Rod Stewart
Childish Gambino
KISS
John Mayer
Hugh Jackman
Enrique Iglesias
The Weeknd
Sam Smith
Romeo Santos
Enrique Iglesias / Pitbull
Shania Twain
Harry Styles
Little Mix
Zac Brown Band
Dave Matthews Band
Paul Simon
Olly Murs
The Killers
Florida Georgia Line
Tim McGraw / Faith Hill
Shawn Mendes
"""TDE Tour"" / Kendrick Lamar"
Kevin Hart
Mumford & Sons
Def Leppard
André Rieu
The Black Keys
Trans-Siberian Orchestra
Dave Chappelle
"""Bad Boy Family Reunion Tour"" / ""Puff Daddy"""
Hootie & The Blowfish
"""Bad Boy Family Reunion Tour"" / Puff Daddy"
Blake Shelton
Ozzy Osbourne
The Cure
Post Malone
Travis Scott
Imagine Dragons
Stevie Nicks
New Kids On The Block
Timbiriche
J. Cole
Jason Aldean
Dave Matthews And Tim Reynolds
Ozuna
Florence + The Machine
Kid Rock
Marco Antonio Solis
Carrie Underwood
Daryl Hall & John Oates / Tears For Fears
Chris Stapleton
Sia
James Taylor
Eros Ramazzotti
Dixie Chicks
Kylie Minogue
Bad Bunny
Micky Flanagan
Ricardo Arjona
Lionel Richie
A.R. Rahman
Green Day
Thomas Rhett
Jimmy Buffett
Lana Del Rey
Jack Johnson
Chayanne
Picture This
Hans Zimmer
Keith Urban / Carrie Underwood
Keith Urban
Chris Brown
Dolly Parton
Chris Rock
Lynyrd Skynyrd
"""Walking With Dinosaurs"""
Josh Groban
Twenty One Pilots
Sam Hunt
Miranda Lambert / Little Big Town
Mark Knopfler
Banda Sinaloense MS de Sergio Lizarraga
Gorillaz
The Smashing Pumpkins
Kelly Clarkson
Scorpions
Ozuna / Wisin
Alejandro Fernández / Los Tigres Del Norte
Sebastian Maniscalco
Panic! At The Disco
"""Lit AF Tour"" / Martin Lawrence"
Mariah Carey
Sting
Maxwell / Mary J. Blige
Wisin & Yandel
Demi Lovato
Khalid
Alan Jackson
Anita Baker
Barry Manilow
Journey
Alejandro Fernández
Pepe Aguilar
Maluma
Miranda Lambert
Janet Jackson
Stereophonics
Ms. Lauryn Hill
27
Kings Of Leon
Chance The Rapper
Future
The World of Hans Zimmer
The Chainsmokers
B2K
Amy Schumer
Gloria Trevi / Alejandra Guzman
Jerry Seinfeld
A-ha
Scorpions / Def Leppard
Casting Crowns / Hillsong Worship
"""Vans Warped Tour"""
Steely Dan / Doobie Brothers
"Nick Cannon Presents ""Wild 'N Out Live"""
"""Game Of Thrones Live Concert Experience"""
Dierks Bentley
Kasabian
"""Das Grosse Schlagerfest"""
"""Soy Luna Live"""
J Balvin
Christina Aguilera
Lorde
Katt Williams
Roberto Carlos
Boyzone
Paloma Faith
Tini Stoessel
LCD Soundsystem
The Script
Nickelback
Tears For Fears
Anuel AA
Alejandro Sanz
Train / Goo Goo Dolls / Goo Goo Dolls
Simply Red
Arcade Fire
Sarah Connor
Café Tacvba
Jack Whitehall
Laura Pausini
Vampire Weekend
Leningrad
The Lumineers
Let's Dance
Bryan Adams
Los Hermanos
Avenged Sevenfold
Train / Goo Goo Dolls
Brad Paisley
anuel aa
John Legend
Charlie Wilson
Fall Out Boy
Fito & Fitipaldis
Flume
Thirty Seconds To Mars
Blink-182
Santana
Snow Patrol
Five Finger Death Punch
Weezer / Pixies
The Kelly Family
Jess Glynne
Alabama
Five Finger Death Punch / Breaking Benjamin
George Ezra
"Tyler, The Creator"
The Tenderloins
Brandi Carlile
matchbox twenty / Counting Crows
Sting / Shaggy
matchbox twenty
Billie Eilish
Sara Bareilles
Roland Kaiser
Disturbed
Status Quo
Carlos Vives
Bon Iver
The Streets
Placebo
Biffy Clyro
Willie Nelson/  Alison Krauss
Pentatonix
JoJo Siwa
Volbeat
Craig David
Steve Martin / Martin Short
Five Finger Death Punch / Shinedown
Deadmau5
Evanescence / Lindsey Stirling
Nightwish
"""Das Grosse Schlagerfest"" / Florian Silbereisen"
Godsmack / Shinedown
Queens Of The Stone Age
"""Paw Patrol Live!"""
Nicky Jam
Chicago / Doobie Brothers
Steve Miller Band / Peter Frampton
"""Das Grosse Schlagerfest. XXL"" / Florian Silbereisen"
Heart / Joan Jett & The Blackhearts / Cheap Trick
Willie Nelson / Alison Krauss
Luke Combs
Rob Zombie / Marilyn Manson
Jim Gaffigan
Joe Bonamassa
"""The Illusionists"""
Bob Dylan
Robyn
The Prodigy
Trevor Noah
Russell Howard (Comedy)
5 Seconds Of Summer
Sunrise Avenue
Jean-Michel Jarre
Niall Horan
Kesha / Macklemore
"""Harry Potter In Concert"""
Godsmack
"""Das Grosse Schlagerfest"" / Florian Sibereisen"
"""Blue Planet II - Live In Concert"""
Noel Gallagher's High Flying Birds
King Crimson
Jack White
Russell Howard
Little Big Town
Jason Derulo
Shinedown
The Avett Brothers
The xx
Hilltop Hoods
Widespread Panic
Ringo Starr & His All Starr Band
Slayer
A Perfect Circle
Incubus
Jill Scott
"""Honda Civic Tour"" / OneRepublic"
Morrissey
G-Eazy / Lil Uzi Vert
"Michael Flatley's ""Lord Of The Dance"""
Halsey
Odesza
Amy Grant / Michael W. Smith
Keane
Rüfüs Du Sol
Willie Nelson
Kesha
Anderson .Paak
Chicago / REO Speedwagon
Foreigner / Whitesnake
Manuel Carrasco
Zedd
James Blunt
"""Huevos Revueltos"" / Hombres G"
"""Huevos Revueltos"""
"""Huevos Revueltos"" / Hombres G / Los Enanitos Verdes"
The Avett Brothers / Gov't Mule
Alison Krauss / David Gray
"RBRM - Ronnie, Bobby, Ricky and Mike (Bobby Brown & Bell Biv Devoe)"
Paramore
Los Angeles Azules
Frankie Valli And The Four Seasons
Royal Blood
Jeff Dunham
Hillsong United
Billy Crystal
"""Disney In Concert"""
Deep Purple / Alice Cooper
Tedeschi Trucks Band
Russell Peters
Beck
Philipp Poisel
Mary J. Blige
Jo Koy
Meek Mill
"UB40 Feat. Ali Campbell, Mickey & Astro"
Logic
Train
Chris Young
Counting Crows / Rob Thomas
Judas Priest
The 1975
UB40 Feat. Ali Campbell & Astro
Gloria Trevi
"RBRM - Ronnie, Bobby, Ricky and Mike"
Troye Sivan
Donny & Marie Osmond
Gabriel Iglesias
MercyMe
Santiano
R. Kelly
Gary Clark Jr.
"Barry Humphries ""Dame Edna"""
"""Riverdance"""
Kygo
"""Star Wars: In Concert"""
Los Temerarios
Il Volo
"Earth, Wind & Fire / Chic Feat. Nile Rodgers"
"""I Love The 90s"" / Salt-N-Pepa / Vanilla Ice"
Alt-J
Miguel Bosé
"""I Love The 90s"" / Vanilla Ice / Salt-N-Pepa"
"""I Love The 90s"""
Sarah Brightman
Cake / Ben Folds
REO Speedwagon
Steve Miller Band
Human Nature
Nick Cave & The Bad Seeds
Juanes
Deep Purple / Judas Priest
G-Eazy
Silbermond
Kaiser Chiefs
Maggie Rogers
Wiz Khalifa / Rae Sremmurd
"""I Love The 90s"" / Vanilla Ice/Salt-N-Pepa"
2Cellos
The National
Jim Jefferies
Michael Franti & Spearheadi
Snoop Dogg
Charlie Puth
REO Speedwagon / Styx
Sigur Rós
Michael W. Smith / Amy Grant
Third Day
Rodriguez
Korn
Revolverheld
Brantley Gilbert
Harry Connick Jr.
"""Hits Deep Tour"" / TobyMac"
Chicago
Deftones / Rise Against
Tom Jones
Haim
"""I Love The 90s Tour"" / Vanella Ice / Salt-N-Pepa"
Old Dominion
Tony Bennett
John Mellencamp
Foreigner
Rise Against
Culture Club / The B-52's
The Offspring / Sum 41
David Byrne
Paul Weller
The B-52's
Kacey Musgraves
Ben Zucker
Diana Ross
Counting Crows
Sammy Hagar And The Circle
Lizzo
Culture Club
Zoé
Bastille
Joan Baez
Jackson Browne
Fifth Harmony
Marilyn Manson
Russ
Blondie / Garbage
Illenium
Dan TDM
Shin Lim
