Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,204060,2893598,2909898.0,29587,29933.0,97.8,97.21,10,9.0,2,1,WME,/Date(1554102000000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
2,204016,2662708,2609274.0,19092,18721.0,139.46,139.37,13,14.0,3,2,The Howard Rose Agency,/Date(1554102000000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
3,203999,2186678,2161112.0,15674,15517.0,139.51,139.27,15,16.0,5,3,Creative Artists Agency,/Date(1554102000000)/,True,Fleetwood Mac,35812,Fleetwood Mac,/artist/fleetwood-mac-35812
4,203914,2174805,2195486.0,16431,16705.0,132.36,131.42,25,21.0,4,4,WME,/Date(1554102000000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
5,203883,2047611,2047611.0,16901,16901.0,121.15,121.15,16,16.0,6,5,Artist Group International,/Date(1554102000000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
6,204098,1889054,1823543.0,22558,21956.0,83.74,83.05,14,15.0,7,6,WME,/Date(1554102000000)/,True,Luis Miguel,23676,Luis Miguel,/artist/luis-miguel-23676
7,204028,1600003,1447390.0,14062,12826.0,113.78,112.84,9,11.0,9,7,Cardenas Marketing Network,/Date(1554102000000)/,True,Marc Anthony,22802,Marc Anthony,/artist/marc-anthony-22802
8,203980,1505890,1543871.0,11972,11954.0,125.78,129.14,17,14.0,8,8,Creative Artists Agency,/Date(1554102000000)/,True,Michael Bublé,21052,Michael Bublé,/artist/michael-bubl-21052
9,204084,1404527,1404527.0,12346,12346.0,113.76,113.76,28,28.0,10,9,ICM Partners,/Date(1554102000000)/,True,Bob Seger & The Silver Bullet Band,64684,Bob Seger & The Silver Bullet Band,/artist/bob-seger-the-silver-bullet-band-64684
10,204034,1345126,1345126.0,11700,11700.0,114.96,114.96,15,15.0,11,10,Marshall Arts,/Date(1554102000000)/,True,Cher,44721,Cher,/artist/cher-44721
11,204071,1205057,1205057.0,11690,11690.0,103.08,103.08,13,13.0,12,11,Creative Artists Agency,/Date(1554102000000)/,True,KISS,26745,KISS,/artist/kiss-26745
12,204035,1175889,1146879.0,15975,15809.0,73.61,72.54,34,37.0,13,12,CLG - Cara Lewis Group,/Date(1554102000000)/,True,Travis Scott,179020,Travis Scott,/artist/travis-scott-179020
13,204037,1044392,1041526.0,11659,11554.0,89.58,90.14,17,15.0,14,13,Messina Touring Group,/Date(1554102000000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
14,204053,1037030,1037030.0,16118,16118.0,64.34,64.34,26,26.0,15,14,WME,/Date(1554102000000)/,True,Trans-Siberian Orchestra,3779,Trans-Siberian Orchestra,/artist/trans-siberian-orchestra-3779
15,203925,1036110,1030886.0,14528,14433.0,71.31,71.42,15,14.0,17,15,WME,/Date(1554102000000)/,True,Mumford & Sons,91696,Mumford & Sons,/artist/mumford-sons-91696
16,203902,1034919,1034919.0,12713,12713.0,81.4,81.4,9,9.0,16,16,WME,/Date(1554102000000)/,True,Kevin Hart,232828,Kevin Hart,/artist/kevin-hart-232828
17,203897,1024553,1024553.0,15369,15369.0,66.66,66.66,14,14.0,18,17,WME,/Date(1554102000000)/,True,Florence + The Machine,85412,Florence + The Machine,/artist/florence-the-machine-85412
