Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,146122,3966040,3879178.0,35996,36540.0,110.18,106.16,10,12.0,1,1,WME,/Date(1525071600000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
2,146077,2263095,2299695.0,4448,4521.0,508.75,508.64,13,13.0,2,2, / Creative Artists Agency,/Date(1525071600000)/,True,"""Springsteen On Broadway""",556161,"""Springsteen On Broadway""",/artist/springsteen-on-broadway-556161
3,146189,1700379,1728269.0,20465,20777.0,83.09,83.18,12,13.0,4,3,Cirque du Soleil,/Date(1525071600000)/,True,"Cirque du Soleil - ""Totem""",226955,"Cirque du Soleil - ""Totem""",/artist/cirque-du-soleil-totem-226955
4,146098,1575062,,15477,,101.76,0.0,11,,New,4,Angelo Medina Group,/Date(1525071600000)/,True,Romeo Santos,164499,Romeo Santos,/artist/romeo-santos-164499
5,146102,1489005,1489005.0,16756,16756.0,88.86,88.86,15,15.0,6,5,WME,/Date(1525071600000)/,True,Kendrick Lamar,156275,Kendrick Lamar,/artist/kendrick-lamar-156275
6,146076,1000971,1000971.0,12448,12448.0,80.41,80.41,20,20.0,9,6,Creative Artists Agency,/Date(1525071600000)/,True,Demi Lovato,89120,Demi Lovato,/artist/demi-lovato-89120
7,146105,997285,997285.0,12758,12758.0,78.17,78.17,14,14.0,10,7,Messina Touring Group,/Date(1525071600000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
8,146191,874285,774768.0,11874,10495.0,73.63,73.82,19,11.0,11,8,Creative Artists Agency,/Date(1525071600000)/,True,Harry Styles,315762,Harry Styles,/artist/harry-styles-315762
9,146177,779149,745624.0,9589,9357.0,81.25,79.69,14,13.0,12,9,Creative Artists Agency,/Date(1525071600000)/,True,Lana Del Rey,134109,Lana Del Rey,/artist/lana-del-rey-134109
10,146136,767443,685439.0,8539,8070.0,89.87,84.93,30,31.0,13,10,,/Date(1525071600000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
11,146090,743199,681928.0,12254,11030.0,60.65,61.82,16,15.0,14,11,WME,/Date(1525071600000)/,True,The Killers,27029,The Killers,/artist/the-killers-27029
12,146152,663753,663753.0,10470,10470.0,63.39,63.39,11,11.0,15,12,Contra Promotion,/Date(1525071600000)/,True,Sunrise Avenue,67517,Sunrise Avenue,/artist/sunrise-avenue-67517
13,146116,583098,583098.0,9971,9971.0,58.47,58.47,24,24.0,16,13,WME,/Date(1525071600000)/,True,Miranda Lambert,20486,Miranda Lambert,/artist/miranda-lambert-20486
14,146192,537174,559226.0,8591,8885.0,62.53,62.94,12,11.0,17,14,The Sixth House,/Date(1525071600000)/,True,Gloria Trevi / Alejandra Guzman,34054,Gloria Trevi,/artist/gloria-trevi-34054
15,146094,529448,529448.0,6495,6495.0,81.51,81.51,11,11.0,18,15,13 Artists,/Date(1525071600000)/,True,A-ha,52247,A-ha,/artist/a-ha-52247
16,146150,526226,509496.0,7520,7319.0,69.98,69.6,29,26.0,19,16,,/Date(1525071600000)/,True,"""Soy Luna Live""",478829,"""Soy Luna Live""",/artist/soy-luna-live-478829
17,146182,486084,,5626,,86.4,0.0,11,,New,17,Cardenas Marketing Network,/Date(1525071600000)/,True,Bad Bunny,323105,Bad Bunny,/artist/bad-bunny-323105
18,146195,475582,427267.0,10362,9361.0,45.89,45.64,18,17.0,22,18,VStar Entertainment Group,/Date(1525071600000)/,True,"""Paw Patrol Live!""",223531,"""Paw Patrol Live!""",/artist/paw-patrol-live-223531
19,146148,443457,443457.0,8591,8591.0,51.61,51.61,19,19.0,20,19,Creative Artists Agency,/Date(1525071600000)/,True,Avenged Sevenfold,50084,Avenged Sevenfold,/artist/avenged-sevenfold-50084
20,146198,408777,441324.0,4125,4203.0,99.09,104.98,17,18.0,21,20,ICM Partners (Comedy),/Date(1525071600000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
21,146093,386464,374652.0,6271,6131.0,61.62,61.1,12,13.0,24,21,WME,/Date(1525071600000)/,True,"""Harry Potter In Concert""",223310,"""Harry Potter In Concert""",/artist/harry-potter-in-concert-223310
22,146134,384647,384647.0,7800,7800.0,49.31,49.31,32,32.0,23,22,United Talent Agency,/Date(1525071600000)/,True,Jeff Dunham,232711,Jeff Dunham,/artist/jeff-dunham-232711
23,146125,295973,250568.0,5982,4262.0,49.47,58.78,31,30.0,27,23,WME,/Date(1525071600000)/,True,"""The Illusionists""",226798,"""The Illusionists""",/artist/the-illusionists-226798
24,146128,287652,287652.0,4906,4906.0,58.62,58.62,12,12.0,26,24,APA,/Date(1525071600000)/,True,Paul Weller,16685,Paul Weller,/artist/paul-weller-16685
25,146115,242956,242956.0,4043,4043.0,60.08,60.08,32,32.0,28,25,Abhann Productions Ltd.,/Date(1525071600000)/,True,"""Riverdance""",233037,"""Riverdance""",/artist/riverdance-233037
26,146123,219427,224490.0,3361,3411.0,65.29,65.8,27,26.0,29,26,ICM Partners,/Date(1525071600000)/,True,"""Dancing With The Stars""",231510,"""Dancing With The Stars""",/artist/dancing-with-the-stars-231510
27,146154,215407,215407.0,4470,4470.0,48.19,48.19,11,11.0,30,27,ICM Partners,/Date(1525071600000)/,True,2Cellos,159216,2Cellos,/artist/2cellos-159216
28,146121,209634,209634.0,7573,7573.0,27.68,27.68,28,28.0,31,28, / Creative Artists Agency,/Date(1525071600000)/,True,"""Hits Deep Tour"" / TobyMac",0,"""Hits Deep Tour""",
29,146149,199898,199898.0,3212,3212.0,62.23,62.23,26,26.0,32,29,APA,/Date(1525071600000)/,True,Jimmy Carr,232747,Jimmy Carr,/artist/jimmy-carr-232747
30,146101,196863,,3659,,53.79,0.0,11,,New,30,United Talent Agency,/Date(1525071600000)/,True,Jim Jefferies,230888,Jim Jefferies,/artist/jim-jefferies-230888
31,146075,178146,178146.0,1958,1958.0,90.98,90.98,11,11.0,33,31,WME,/Date(1525071600000)/,True,Diana Krall,40891,Diana Krall,/artist/diana-krall-40891
32,146161,165537,165537.0,7740,7740.0,21.39,21.39,45,45.0,36,32,Premier Productions,/Date(1525071600000)/,True,"""Winter Jam"" / Skillet",0,"""Winter Jam""",
33,146100,150283,152439.0,2578,2595.0,58.28,58.73,29,38.0,37,33,,/Date(1525071600000)/,True,Mannheim Steamroller,22671,Mannheim Steamroller,/artist/mannheim-steamroller-22671
