Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,158848,11689582,11730037.0,93806,93306.0,124.61,125.71,14,13.0,1,1,,/Date(1534748400000)/,True,Taylor Swift,62760,Taylor Swift,/artist/taylor-swift-62760
2,158795,8968275,9164090.0,57762,57573.0,155.26,159.17,13,11.0,2,2,,/Date(1534748400000)/,True,The Rolling Stones,12116,The Rolling Stones,/artist/the-rolling-stones-12116
3,158784,6499446,5840059.0,59709,58067.0,108.85,100.57,20,15.0,3,3,Live Nation / Creative Artists Agency,/Date(1534748400000)/,True,Jay-Z / Beyoncé,29784,Jay-Z,/artist/jay-z-29784
4,158809,5473576,4887949.0,30982,28928.0,176.67,168.97,9,11.0,4,4,WME,/Date(1534748400000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
5,158814,4127170,,42787,,96.46,0.0,9,,New,5,United Talent Agency,/Date(1534748400000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
6,158846,3617679,3617679.0,25768,25768.0,140.39,140.39,17,17.0,5,6,,/Date(1534748400000)/,True,U2,2967,U2,/artist/u2-2967
7,158751,3153664,3100456.0,19822,19366.0,159.1,160.09,19,20.0,6,7,Creative Artists Agency / The Howard Rose Agency,/Date(1534748400000)/,True,Eagles,38478,Eagles,/artist/eagles-38478
8,158818,2871322,2817430.0,20288,20139.0,141.53,139.9,26,28.0,8,8,Marshall Arts,/Date(1534748400000)/,True,Pink,15935,Pink,/artist/pink-15935
9,158819,2784984,3069580.0,21312,21458.0,130.67,143.05,31,25.0,7,9,WME,/Date(1534748400000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
10,158740,2671615,2655157.0,30868,30765.0,86.55,86.3,32,30.0,9,10,Dale Morris & Associates,/Date(1534748400000)/,True,Kenny Chesney,27429,Kenny Chesney,/artist/kenny-chesney-27429
11,158850,2218401,2142342.0,21070,20047.0,105.28,106.87,11,13.0,10,11,Artist Group International,/Date(1534748400000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
12,158731,2109517,2109517.0,21210,21210.0,99.46,99.46,26,26.0,11,12,Sensible Events,/Date(1534748400000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
13,158842,2056630,2048515.0,4044,4028.0,508.56,508.54,15,16.0,12,13, / Creative Artists Agency,/Date(1534748400000)/,True,"""Springsteen On Broadway""",556161,"""Springsteen On Broadway""",/artist/springsteen-on-broadway-556161
14,158857,1851279,1851597.0,26059,26085.0,71.04,70.98,19,19.0,13,14,WME,/Date(1534748400000)/,True,Dead & Company,203144,Dead & Company,/artist/dead-company-203144
15,158832,1826787,1849491.0,20364,20365.0,89.7,90.81,11,11.0,14,15,WME,/Date(1534748400000)/,True,Foo Fighters,35992,Foo Fighters,/artist/foo-fighters-35992
16,158810,1594418,1014869.0,16470,10266.0,96.81,98.85,15,14.0,24,16,,/Date(1534748400000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
17,158779,1507964,1354473.0,19328,17183.0,78.02,78.83,13,11.0,17,17,Creative Artists Agency,/Date(1534748400000)/,True,Katy Perry,80789,Katy Perry,/artist/katy-perry-80789
18,158863,1451357,,14311,,101.41,0.0,11,,New,18,Creative Artists Agency,/Date(1534748400000)/,True,Paul Simon,18310,Paul Simon,/artist/paul-simon-18310
19,158739,1396762,1396762.0,20311,20311.0,68.77,68.77,11,11.0,16,19,WME,/Date(1534748400000)/,True,The Killers,27029,The Killers,/artist/the-killers-27029
20,158750,1374832,1351881.0,12039,11911.0,114.19,113.49,24,25.0,18,20,WME,/Date(1534748400000)/,True,Luis Miguel,23676,Luis Miguel,/artist/luis-miguel-23676
21,158803,1316708,1316708.0,13736,13736.0,95.85,95.85,17,17.0,19,21,Creative Artists Agency / Artist Group International,/Date(1534748400000)/,True,Journey / Def Leppard,27980,Journey,/artist/journey-27980
22,158716,1139657,1107726.0,14275,13978.0,79.83,79.24,45,49.0,22,22,Creative Artists Agency,/Date(1534748400000)/,True,Harry Styles,315762,Harry Styles,/artist/harry-styles-315762
23,158855,1131926,1138562.0,12698,12580.0,89.14,90.5,18,15.0,21,23,Creative Artists Agency,/Date(1534748400000)/,True,Shania Twain,10265,Shania Twain,/artist/shania-twain-10265
24,158794,1003097,,14288,,70.2,0.0,11,,New,24,,/Date(1534748400000)/,True,"""TDE Tour"" / Kendrick Lamar",735348,"""TDE Tour""",/artist/tde-tour-735348
25,158856,952474,1026552.0,13740,14802.0,69.32,69.35,27,28.0,23,25,WME,/Date(1534748400000)/,True,Sam Smith,11433,Sam Smith,/artist/sam-smith-11433
26,158823,925332,,13882,,66.65,0.0,9,,New,26,Creative Artists Agency,/Date(1534748400000)/,True,Ozzy Osbourne,16810,Ozzy Osbourne,/artist/ozzy-osbourne-16810
27,158841,922720,909676.0,12695,12512.0,72.68,72.7,18,18.0,25,27,WME,/Date(1534748400000)/,True,Kevin Hart,232828,Kevin Hart,/artist/kevin-hart-232828
28,158758,887519,827609.0,13197,12545.0,67.25,65.97,25,24.0,27,28,Paradigm Talent Agency,/Date(1534748400000)/,True,Imagine Dragons,134346,Imagine Dragons,/artist/imagine-dragons-134346
29,158847,871437,888416.0,9678,9836.0,90.03,90.32,25,24.0,26,29,Creative Artists Agency UK,/Date(1534748400000)/,True,James Taylor,30201,James Taylor,/artist/james-taylor-30201
30,158871,810490,813658.0,8607,8637.0,94.16,94.2,16,18.0,28,30,Creative Artists Agency,/Date(1534748400000)/,True,Maluma,201532,Maluma,/artist/maluma-201532
31,158813,789394,789394.0,10146,10146.0,77.8,77.8,27,27.0,29,31,Creative Artists Agency,/Date(1534748400000)/,True,Tim McGraw / Faith Hill,4554,Tim McGraw,/artist/tim-mcgraw-4554
32,158782,745280,745280.0,12423,12423.0,59.99,59.99,28,28.0,30,32,United Talent Agency,/Date(1534748400000)/,True,Post Malone,198984,Post Malone,/artist/post-malone-198984
33,158875,685703,656999.0,11059,10483.0,62.0,62.67,9,10.0,32,33,Cardenas Marketing Network,/Date(1534748400000)/,True,Bad Bunny,323105,Bad Bunny,/artist/bad-bunny-323105
34,158829,661141,661141.0,10180,10180.0,64.94,64.94,16,16.0,31,34,,/Date(1534748400000)/,True,"""Lit AF Tour"" / Martin Lawrence",736137,"""Lit AF Tour""",/artist/lit-af-tour-736137
35,158852,651835,,6670,,97.72,0.0,9,,New,35,,/Date(1534748400000)/,True,"""Game Of Thrones Live Concert Experience""",217165,"""Game Of Thrones Live Concert Experience""",/artist/game-of-thrones-live-concert-experience-217165
36,158835,616786,,9639,,63.98,0.0,9,,New,36,Pinnacle Entertainment,/Date(1534748400000)/,True,Noel Gallagher's High Flying Birds,159783,Noel Gallagher's High Flying Birds,/artist/noel-gallaghers-high-flying-birds-159783
37,158729,606684,604606.0,8978,8933.0,67.57,67.68,29,28.0,33,37,Patriot Artists Agency,/Date(1534748400000)/,True,Bryan Adams,46813,Bryan Adams,/artist/bryan-adams-46813
38,158752,517817,519851.0,8079,8229.0,64.09,63.17,20,22.0,34,38,Creative Artists Agency,/Date(1534748400000)/,True,Thirty Seconds To Mars,53000,Thirty Seconds To Mars,/artist/thirty-seconds-to-mars-53000
39,158789,502005,514911.0,7687,7718.0,65.3,66.71,30,30.0,35,39,Creative Artists Agency,/Date(1534748400000)/,True,Steely Dan / Doobie Brothers,7687,Steely Dan,/artist/steely-dan-7687
40,158770,493636,489447.0,7181,6914.0,68.73,70.78,14,18.0,37,40,APA,/Date(1534748400000)/,True,Scorpions,10548,Scorpions,/artist/scorpions-10548
41,158718,420875,441881.0,8153,8311.0,51.62,53.17,20,19.0,38,41,CLG - Cara Lewis Group,/Date(1534748400000)/,True,Khalid,307262,Khalid,/artist/khalid-307262
42,158786,407507,,8266,,49.3,0.0,9,,New,42,WME,/Date(1534748400000)/,True,Five Finger Death Punch / Shinedown,63600,Five Finger Death Punch,/artist/five-finger-death-punch-63600
43,158861,389091,390069.0,3288,3288.0,118.31,118.6,11,11.0,39,43,WME,/Date(1534748400000)/,True,Steve Martin / Martin Short,231343,Steve Martin,/artist/steve-martin-231343
44,158765,381217,494611.0,6637,7782.0,57.44,63.55,19,23.0,36,44,Creative Artists Agency,/Date(1534748400000)/,True,Demi Lovato,89120,Demi Lovato,/artist/demi-lovato-89120
45,158787,380243,380243.0,5507,5507.0,69.04,69.04,17,17.0,40,45,Creative Artists Agency,/Date(1534748400000)/,True,The Script,82545,The Script,/artist/the-script-82545
46,158721,356848,356848.0,3665,3665.0,97.34,97.34,15,15.0,42,46,ICM Partners (Comedy),/Date(1534748400000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
47,158724,331636,288751.0,6162,5600.0,53.81,51.56,14,13.0,49,47,United Talent Agency,/Date(1534748400000)/,True,Paramore,17061,Paramore,/artist/paramore-17061
48,158816,327000,308436.0,6431,6118.0,50.84,50.41,18,19.0,47,48,United Talent Agency,/Date(1534748400000)/,True,Jeff Dunham,232711,Jeff Dunham,/artist/jeff-dunham-232711
49,158723,324183,335484.0,2634,2813.0,123.03,119.25,9,10.0,43,49,J & R Adventures,/Date(1534748400000)/,True,Joe Bonamassa,28603,Joe Bonamassa,/artist/joe-bonamassa-28603
50,158808,323826,324847.0,6060,6114.0,53.44,53.13,11,12.0,46,50,Creative Artists Agency,/Date(1534748400000)/,True,Little Big Town,24882,Little Big Town,/artist/little-big-town-24882
51,158711,308087,377929.0,5474,6791.0,56.28,55.64,9,12.0,41,51,Creative Artists Agency,/Date(1534748400000)/,True,Fall Out Boy,37232,Fall Out Boy,/artist/fall-out-boy-37232
52,158844,303452,329566.0,4707,4772.0,64.47,69.06,15,15.0,44,52,Creative Artists Agency,/Date(1534748400000)/,True,Willie Nelson,911,Willie Nelson,/artist/willie-nelson-911
53,158755,290198,292733.0,4567,4700.0,63.53,62.28,30,34.0,48,53,Creative Artists Agency,/Date(1534748400000)/,True,Niall Horan,220951,Niall Horan,/artist/niall-horan-220951
54,158849,278002,284043.0,6023,6058.0,46.15,46.88,12,13.0,50,54,Creative Artists Agency (Comedy),/Date(1534748400000)/,True,Trevor Noah,227046,Trevor Noah,/artist/trevor-noah-227046
55,158744,270591,326672.0,5923,7172.0,45.68,45.54,13,14.0,45,55,Paradigm Talent Agency,/Date(1534748400000)/,True,Odesza,175374,Odesza,/artist/odesza-175374
56,158762,264128,262668.0,4031,4017.0,65.52,65.39,12,12.0,51,56,Creative Artists Agency,/Date(1534748400000)/,True,Chicago ,44792,Chicago,/artist/chicago-44792
57,158791,237775,,6965,,34.13,0.0,9,,New,57,WME,/Date(1534748400000)/,True,MercyMe,21601,MercyMe,/artist/mercyme-21601
58,158717,234202,252262.0,6684,7127.0,35.04,35.39,11,10.0,52,58,VStar Entertainment Group,/Date(1534748400000)/,True,"""Paw Patrol Live!""",223531,"""Paw Patrol Live!""",/artist/paw-patrol-live-223531
59,158840,229490,229490.0,5515,5515.0,41.61,41.61,14,14.0,53,59,Creative Artists Agency,/Date(1534748400000)/,True,Third Day,4822,Third Day,/artist/third-day-4822
60,158834,227797,,3791,,60.07,0.0,10,,New,60,WME,/Date(1534748400000)/,True,Erasure,36833,Erasure,/artist/erasure-36833
61,158781,223590,223590.0,3617,3617.0,61.81,61.81,17,17.0,54,61,WME,/Date(1534748400000)/,True,Juanes,28130,Juanes,/artist/juanes-28130
62,158824,222457,,2891,,76.94,0.0,9,,New,62,Creative Artists Agency,/Date(1534748400000)/,True,Jackson Browne,30493,Jackson Browne,/artist/jackson-browne-30493
63,158742,220852,,4821,,45.8,0.0,10,,New,63,Creative Artists Agency,/Date(1534748400000)/,True,Haim,99733,Haim,/artist/haim-99733
64,158792,212767,,1898,,112.09,0.0,11,,New,64,WME,/Date(1534748400000)/,True,Steve Aoki,72064,Steve Aoki,/artist/steve-aoki-72064
65,158860,202525,199589.0,4267,4105.0,47.46,48.62,12,13.0,55,65,WME,/Date(1534748400000)/,True,Queens Of The Stone Age,14135,Queens Of The Stone Age,/artist/queens-of-the-stone-age-14135
66,158754,200003,192055.0,3836,3661.0,52.13,52.45,18,20.0,57,66,Paradigm Talent Agency,/Date(1534748400000)/,True,Foreigner,35382,Foreigner,/artist/foreigner-35382
