Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,261309,2870863,,21937,,130.86,0,12,,1,1,The Howard Rose Agency,/Date(1576483200000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
2,261257,2291602,,42879,,53.44,0,12,,2,2,,/Date(1576483200000)/,True,Sandy & Junior,11766,Sandy & Junior,/artist/sandy-junior-11766
3,261182,2145965,,14831,,144.69,0,9,,3,3,Solo Agency,/Date(1576483200000)/,True,Phil Collins,15705,Phil Collins,/artist/phil-collins-15705
4,261255,2003111,,15756,,127.13,0,9,,4,4,United Talent Agency,/Date(1576483200000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
5,261241,1921982,,22582,,85.11,0,11,,5,5,United Talent Agency,/Date(1576483200000)/,True,Muse,19965,Muse,/artist/muse-19965
6,261155,1913809,,16429,,116.49,0,25,,6,6,United Talent Agency,/Date(1576483200000)/,True,Post Malone,198984,Post Malone,/artist/post-malone-198984
7,261371,1711513,,12907,,132.6,0,16,,11,7,Marshall Arts,/Date(1576483200000)/,True,Cher,44721,Cher,/artist/cher-44721
8,261197,1705231,,16504,,103.32,0,39,,8,8,United Talent Agency,/Date(1576483200000)/,True,Jonas Brothers,28484,Jonas Brothers,/artist/jonas-brothers-28484
9,261230,1696652,,18490,,91.76,0,20,,7,9,Creative Artists Agency,/Date(1576483200000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
10,261359,1485557,,14118,,105.22,0,12,,10,10,WME,/Date(1576483200000)/,True,Tool,4298,Tool,/artist/tool-4298
11,261397,1471468,,17161,,85.74,0,11,,12,11,WME,/Date(1576483200000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
