Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,187236,7732340,7623150.0,62630,62002.0,123.46,122.95,10,11.0,1,1,,/Date(1549267200000)/,True,Taylor Swift,62760,Taylor Swift,/artist/taylor-swift-62760
2,187262,4753471,4704251.0,34995,35247.0,135.83,133.46,9,10.0,4,2,,/Date(1549267200000)/,True,U2,2967,U2,/artist/u2-2967
3,187396,4506091,4861188.0,48686,52790.0,92.55,92.09,14,15.0,3,3,Paradigm Talent Agency,/Date(1549267200000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
4,187296,4041588,3954683.0,34579,34114.0,116.88,115.93,12,14.0,5,4,WME,/Date(1549267200000)/,True,Drake,39372,Drake,/artist/drake-39372
5,187332,3627965,3669353.0,24912,26260.0,145.63,139.73,8,10.0,6,5,WME,/Date(1549267200000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
6,187456,3394372,3613379.0,18830,20546.0,180.26,175.86,10,11.0,7,6,Creative Artists Agency,/Date(1549267200000)/,True,Eagles,38478,Eagles,/artist/eagles-38478
7,187271,3237377,3237377.0,44701,44701.0,72.42,72.42,14,14.0,8,7,Sensible Events,/Date(1549267200000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
8,187242,2752443,,22237,,123.77,0.0,9,,New,8,Artist Group International,/Date(1549267200000)/,True,Billy Joel,48725,Billy Joel,/artist/billy-joel-48725
9,187272,2721702,2619103.0,20831,20301.0,130.66,129.01,15,14.0,9,9,The Howard Rose Agency,/Date(1549267200000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
10,187258,2224842,2116177.0,17198,16575.0,129.36,127.67,11,12.0,11,10,Artist Group International,/Date(1549267200000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
11,187257,2149554,2149554.0,4222,4222.0,509.02,509.02,11,11.0,10,11, / Creative Artists Agency,/Date(1549267200000)/,True,"""Springsteen On Broadway""",556161,"""Springsteen On Broadway""",/artist/springsteen-on-broadway-556161
12,187314,2092876,2092876.0,13892,13892.0,150.65,150.65,15,15.0,13,12,Solo Agency,/Date(1549267200000)/,True,Phil Collins,15705,Phil Collins,/artist/phil-collins-15705
13,187340,2090877,2100313.0,16188,16592.0,129.16,126.58,23,17.0,12,13,WME,/Date(1549267200000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
14,187432,1870896,1870896.0,18938,18938.0,98.79,98.79,10,10.0,14,14,Creative Artists Agency / Artist Group International,/Date(1549267200000)/,True,Journey / Def Leppard,27980,Journey,/artist/journey-27980
15,187266,1850333,1850333.0,13946,13946.0,132.67,132.67,26,26.0,15,15,Creative Artists Agency,/Date(1549267200000)/,True,Fleetwood Mac,35812,Fleetwood Mac,/artist/fleetwood-mac-35812
16,187454,1826884,1798669.0,19343,18958.0,94.44,94.87,17,18.0,16,16,WME,/Date(1549267200000)/,True,Luis Miguel,23676,Luis Miguel,/artist/luis-miguel-23676
17,187408,1617591,1511727.0,14694,14238.0,110.08,106.18,14,16.0,17,17,WME,/Date(1549267200000)/,True,Sam Smith,11433,Sam Smith,/artist/sam-smith-11433
18,187463,1577446,1457314.0,14954,14018.0,105.48,103.96,11,15.0,18,18,WME,/Date(1549267200000)/,True,Maroon 5,22512,Maroon 5,/artist/maroon-5-22512
19,187263,1458104,1287770.0,18301,16036.0,79.67,80.3,8,10.0,22,19,WME,/Date(1549267200000)/,True,Luke Bryan,72091,Luke Bryan,/artist/luke-bryan-72091
20,187398,1443766,1443766.0,13257,13257.0,108.9,108.9,10,10.0,19,20,Creative Artists Agency,/Date(1549267200000)/,True,Jeff Lynne's ELO,206245,Jeff Lynne's ELO,/artist/jeff-lynnes-elo-206245
21,187438,1312890,1312890.0,12868,12868.0,102.02,102.02,12,12.0,21,21,Cardenas Marketing Network,/Date(1549267200000)/,True,Marc Anthony,22802,Marc Anthony,/artist/marc-anthony-22802
22,187250,1178427,1016154.0,12040,10460.0,97.87,97.14,10,13.0,26,22,Chaf Enterprises,/Date(1549267200000)/,True,Chayanne,44655,Chayanne,/artist/chayanne-44655
23,187388,1174851,1314233.0,12762,14060.0,92.06,93.47,8,10.0,20,23,WME,/Date(1549267200000)/,True,Childish Gambino,168698,Childish Gambino,/artist/childish-gambino-168698
24,187445,1134816,1134816.0,16867,16867.0,67.28,67.28,8,8.0,23,24,CLG - Cara Lewis Group,/Date(1549267200000)/,True,Travis Scott,179020,Travis Scott,/artist/travis-scott-179020
