Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,93552,5073213,,49817,,101.84,0,13,,New,1,United Talent Agency,/Date(1484553600000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
2,93551,3797927,,34841,,109.01,0,14,,1,2,WME,/Date(1484553600000)/,True,Adele,71458,Adele,/artist/adele-71458
3,93550,2414789,,21428,,112.69,0,18,,4,3,WME,/Date(1484553600000)/,True,Drake,39372,Drake,/artist/drake-39372
4,93549,2376511,,29084,,81.71,0,30,,3,4,Creative Artists Agency,/Date(1484553600000)/,True,Justin Bieber,130405,Justin Bieber,/artist/justin-bieber-130405
5,93546,1836417,,20955,,87.63,0,25,,5,5,Creative Artists Agency,/Date(1484553600000)/,True,Kanye West,27789,Kanye West,/artist/kanye-west-27789
6,93545,1682643,,20496,,82.1,0,25,,New,6,WME,/Date(1484553600000)/,True,Red Hot Chili Peppers,13471,Red Hot Chili Peppers,/artist/red-hot-chili-peppers-13471
7,93544,1670772,,12664,,131.93,0,13,,6,7,Cardenas Marketing Network,/Date(1484553600000)/,True,Marc Anthony,22802,Marc Anthony,/artist/marc-anthony-22802
8,93543,1650593,,24691,,66.85,0,16,,7,8,WME,/Date(1484553600000)/,True,Luke Bryan,72091,Luke Bryan,/artist/luke-bryan-72091
9,93541,1362239,,11776,,115.67,0,13,,New,9,The Howard Rose Agency,/Date(1484553600000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
10,93540,1323035,,19700,,67.16,0,21,,10,10,Creative Artists Agency,/Date(1484553600000)/,True,Black Sabbath,48388,Black Sabbath,/artist/black-sabbath-48388
11,93536,1261453,,13423,,93.98,0,18,,8,11,WME,/Date(1484553600000)/,True,Maroon 5,22512,Maroon 5,/artist/maroon-5-22512
12,93534,1187812,,21931,,54.16,0,11,,9,12,WME,/Date(1484553600000)/,True,Jason Aldean,30325,Jason Aldean,/artist/jason-aldean-30325
13,93533,996479,,9428,,105.69,0,14,,New,13,,/Date(1484553600000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
14,93532,920868,,10974,,83.91,0,19,,12,14,,/Date(1484553600000)/,True,"""Bad Boy Family Reunion Tour"" / Puff Daddy",0,"""Bad Boy Family Reunion Tour""",
15,93531,910724,,14666,,62.1,0,13,,New,15,Creative Artists Agency,/Date(1484553600000)/,True,The Cure,42315,The Cure,/artist/the-cure-42315
16,93529,840751,,8757,,96.0,0,16,,New,16,Creative Artists Agency,/Date(1484553600000)/,True,Stevie Nicks,7373,Stevie Nicks,/artist/stevie-nicks-7373
17,93528,821290,,10398,,78.98,0,22,,11,17,Paradigm Talent Agency,/Date(1484553600000)/,True,Sia,9505,Sia,/artist/sia-9505
18,93527,812980,,13493,,60.25,0,15,,New,18,WME,/Date(1484553600000)/,True,Trans-Siberian Orchestra,3779,Trans-Siberian Orchestra,/artist/trans-siberian-orchestra-3779
19,93526,779357,,10819,,72.03,0,19,,14,19,Creative Artists Agency,/Date(1484553600000)/,True,Dixie Chicks,39802,Dixie Chicks,/artist/dixie-chicks-39802
20,93525,748171,,8754,,85.46,0,17,,13,20,United Talent Agency,/Date(1484553600000)/,True,Nickelback,18763,Nickelback,/artist/nickelback-18763
21,93522,703262,,9949,,70.68,0,40,,15,21,Creative Artists Agency,/Date(1484553600000)/,True,Carrie Underwood,45470,Carrie Underwood,/artist/carrie-underwood-45470
22,93521,679036,,8694,,78.1,0,18,,17,22,APA,/Date(1484553600000)/,True,Dolly Parton,39540,Dolly Parton,/artist/dolly-parton-39540
23,93520,629654,,14038,,44.85,0,36,,16,23,WME,/Date(1484553600000)/,True,Florida Georgia Line,155860,Florida Georgia Line,/artist/florida-georgia-line-155860
24,93519,614035,,11173,,54.95,0,22,,19,24,Artist Group International,/Date(1484553600000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
25,93518,601753,,9553,,62.99,0,31,,18,25,Creative Artists Agency,/Date(1484553600000)/,True,Keith Urban,27338,Keith Urban,/artist/keith-urban-27338
26,93517,545921,,6387,,85.47,0,18,,New,26,Paradigm Talent Agency / ICM Partners,/Date(1484553600000)/,True,Maxwell / Mary J. Blige,21935,Maxwell,/artist/maxwell-21935
27,93515,532873,,8024,,66.4,0,16,,21,27,APA,/Date(1484553600000)/,True,Amy Schumer,231359,Amy Schumer,/artist/amy-schumer-231359
28,93514,529535,,14333,,36.94,0,28,,20,28,Creative Artists Agency,/Date(1484553600000)/,True,Blink-182,47896,Blink-182,/artist/blink-182-47896
29,93513,490270,,6351,,77.19,0,16,,22,29,APA,/Date(1484553600000)/,True,Scorpions,10548,Scorpions,/artist/scorpions-10548
30,93511,406001,,8705,,46.64,0,19,,37,30,The Windish Agency,/Date(1484553600000)/,True,Flume,176023,Flume,/artist/flume-176023
31,93509,401662,,5581,,71.96,0,12,,24,31,Creative Artists Agency,/Date(1484553600000)/,True,KISS,26745,KISS,/artist/kiss-26745
32,93506,371342,,6927,,53.6,0,23,,28,32,Creative Artists Agency,/Date(1484553600000)/,True,5 Seconds Of Summer,172190,5 Seconds Of Summer,/artist/5-seconds-of-summer-172190
33,93504,370025,,7976,,46.39,0,11,,41,33,Artist Group International,/Date(1484553600000)/,True,Volbeat,72741,Volbeat,/artist/volbeat-72741
34,93503,368209,,9027,,40.79,0,12,,27,34,WME,/Date(1484553600000)/,True,Dierks Bentley,39969,Dierks Bentley,/artist/dierks-bentley-39969
35,93502,361397,,4015,,90.01,0,21,,35,35,ICM Partners (Comedy),/Date(1484553600000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
36,93501,360780,,10890,,33.13,0,17,,30,36,,/Date(1484553600000)/,True,Heart / Joan Jett & The Blackhearts / Cheap Trick,0,Heart,
37,93500,350697,,6049,,57.97,0,27,,32,37,Creative Artists Agency,/Date(1484553600000)/,True,Pentatonix,167007,Pentatonix,/artist/pentatonix-167007
38,93498,330345,,8481,,38.95,0,19,,New,38,Creative Artists Agency,/Date(1484553600000)/,True,Twenty One Pilots,146126,Twenty One Pilots,/artist/twenty-one-pilots-146126
39,93496,313587,,6019,,52.09,0,13,,33,39,Progressive Global Agency,/Date(1484553600000)/,True,Widespread Panic,784,Widespread Panic,/artist/widespread-panic-784
40,93495,312801,,5730,,54.58,0,46,,34,40,WME / United Talent Agency,/Date(1484553600000)/,True,Five Finger Death Punch / Shinedown,63600,Five Finger Death Punch,/artist/five-finger-death-punch-63600
41,93492,284033,,7399,,38.38,0,17,,36,41,Paradigm Talent Agency,/Date(1484553600000)/,True,Bastille,50786,Bastille,/artist/bastille-50786
42,93491,272330,,2432,,111.97,0,15,,New,42,Powerline Entertainment,/Date(1484553600000)/,True,Ringo Starr & His All Starr Band,12936,Ringo Starr & His All Starr Band,/artist/ringo-starr-his-all-starr-band-12936
43,93490,267944,,4936,,54.28,0,14,,38,43,Creative Artists Agency,/Date(1484553600000)/,True,Disturbed,40571,Disturbed,/artist/disturbed-40571
44,93489,266682,,6420,,41.54,0,15,,44,44,Creative Artists Agency,/Date(1484553600000)/,True,Counting Crows / Rob Thomas,43394,Counting Crows,/artist/counting-crows-43394
45,93488,260669,,3440,,75.76,0,14,,New,45,Monterey International,/Date(1484553600000)/,True,R. Kelly,13305,R. Kelly,/artist/r-kelly-13305
46,93487,250343,,4504,,55.58,0,29,,42,46,UAA / Universal Attractions Agency,/Date(1484553600000)/,True,"""I Love The 90s"" / Salt-N-Pepa / Vanilla Ice",0,"""I Love The 90s""",
47,93486,249608,,5447,,45.82,0,13,,43,47,CLG - Cara Lewis Group,/Date(1484553600000)/,True,Chance The Rapper,168015,Chance The Rapper,/artist/chance-the-rapper-168015
48,93485,245013,,4830,,50.72,0,18,,40,48,Patriot Artists Agency,/Date(1484553600000)/,True,Bryan Adams,46813,Bryan Adams,/artist/bryan-adams-46813
49,93483,232717,,3650,,63.74,0,20,,46,49,Creative Artists Agency,/Date(1484553600000)/,True,Bonnie Raitt,47191,Bonnie Raitt,/artist/bonnie-raitt-47191
