Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,114213,7276551,7276551.0,61377,61377.0,118.55,118.55,17,17.0,1,1,,/Date(1501484400000)/,True,U2,2967,U2,/artist/u2-2967
2,114212,6173463,6163963.0,61097,58921.0,101.04,104.61,16,16.0,2,2,United Talent Agency,/Date(1501484400000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
3,114211,5534886,5505484.0,54438,54438.0,101.67,101.13,13,13.0,3,3,Artist Group International,/Date(1501484400000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
4,114209,3534669,3534669.0,24298,24298.0,145.47,145.47,12,12.0,4,4,ICM Partners,/Date(1501484400000)/,True,Celine Dion,45018,Celine Dion,/artist/celine-dion-45018
5,114208,3193681,3193681.0,29209,29209.0,109.34,109.34,18,18.0,5,5,Creative Artists Agency,/Date(1501484400000)/,True,Justin Bieber,130405,Justin Bieber,/artist/justin-bieber-130405
6,114207,2963771,2963771.0,39106,39106.0,75.79,75.79,23,23.0,6,6,WME,/Date(1501484400000)/,True,Depeche Mode,40673,Depeche Mode,/artist/depeche-mode-40673
7,114206,2082160,2082160.0,27662,27662.0,75.27,75.27,14,14.0,7,7,Creative Artists Agency,/Date(1501484400000)/,True,Dead & Company,203144,Dead & Company,/artist/dead-company-203144
8,114205,1754392,1754392.0,14134,14134.0,124.12,124.12,14,14.0,8,8,WME,/Date(1501484400000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
9,114204,1678688,1694701.0,21001,20733.0,79.93,81.74,29,27.0,9,9,Paradigm Talent Agency,/Date(1501484400000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
10,114203,1506526,1506526.0,19424,19424.0,77.56,77.56,35,35.0,10,10,WME,/Date(1501484400000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
11,114201,1424139,1433726.0,17058,16794.0,83.48,85.37,17,20.0,11,11,Creative Artists Agency,/Date(1501484400000)/,True,Bon Jovi,47178,Bon Jovi,/artist/bon-jovi-47178
12,114200,1286824,1266131.0,15929,15863.0,80.78,79.81,33,35.0,13,12,WME,/Date(1501484400000)/,True,The Weeknd,168538,The Weeknd,/artist/the-weeknd-168538
13,114199,1282471,1282471.0,14807,14807.0,86.61,86.61,23,23.0,12,13,WME,/Date(1501484400000)/,True,Tom Petty & The Heartbreakers,4216,Tom Petty & The Heartbreakers,/artist/tom-petty-the-heartbreakers-4216
14,114197,1189498,1189498.0,12709,12709.0,93.59,93.59,25,25.0,15,14,WME,/Date(1501484400000)/,True,Neil Diamond,19149,Neil Diamond,/artist/neil-diamond-19149
15,114196,1179721,1204520.0,11781,11926.0,100.14,100.99,17,16.0,14,15,The Howard Rose Agency / ICO ApS,/Date(1501484400000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
16,114195,1116653,1116653.0,13053,13053.0,85.54,85.54,31,31.0,16,16,WME,/Date(1501484400000)/,True,Red Hot Chili Peppers,13471,Red Hot Chili Peppers,/artist/red-hot-chili-peppers-13471
17,114194,1115199,1115199.0,12937,12937.0,86.2,86.2,30,30.0,17,17,Creative Artists Agency,/Date(1501484400000)/,True,Tim McGraw / Faith Hill,4554,Tim McGraw,/artist/tim-mcgraw-4554
18,114193,1100072,1100072.0,14045,14045.0,78.32,78.32,12,12.0,18,18,WME,/Date(1501484400000)/,True,Tool,4298,Tool,/artist/tool-4298
19,114190,1058462,1058462.0,14329,14329.0,73.86,73.86,21,21.0,19,19,Creative Artists Agency,/Date(1501484400000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
20,114188,940995,936841.0,13391,13391.0,70.27,69.96,29,28.0,20,20,Creative Artists Agency,/Date(1501484400000)/,True,Iron Maiden,30375,Iron Maiden,/artist/iron-maiden-30375
21,114187,931932,,18114,,51.45,0.0,13,,New,21,Creative Artists Agency,/Date(1501484400000)/,True,Zac Brown Band,456,Zac Brown Band,/artist/zac-brown-band-456
22,114186,926908,900310.0,16458,15833.0,56.32,56.86,16,18.0,23,22,WME,/Date(1501484400000)/,True,Luke Bryan,72091,Luke Bryan,/artist/luke-bryan-72091
23,114185,903530,903530.0,14938,14938.0,60.48,60.48,21,21.0,22,23,Creative Artists Agency,/Date(1501484400000)/,True,Olly Murs,137764,Olly Murs,/artist/olly-murs-137764
24,114184,899723,912195.0,14609,14848.0,61.58,61.43,40,43.0,21,24,WME,/Date(1501484400000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
25,114182,867759,867759.0,11733,11733.0,73.96,73.96,33,33.0,25,25,Artist Group International,/Date(1501484400000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
26,114181,856393,892018.0,12277,12415.0,69.76,71.85,41,44.0,24,26,Creative Artists Agency,/Date(1501484400000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
27,114180,854191,848815.0,8937,8869.0,95.58,95.7,18,20.0,26,27,Creative Artists Agency,/Date(1501484400000)/,True,Stevie Nicks,7373,Stevie Nicks,/artist/stevie-nicks-7373
28,114179,852300,750163.0,8923,8261.0,95.52,90.81,16,14.0,28,28,WME,/Date(1501484400000)/,True,Hans Zimmer,194922,Hans Zimmer,/artist/hans-zimmer-194922
