Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,276807,3734791,3734791.0,26918,26918.0,138.75,138.75,9,9.0,1,1,The Howard Rose Agency,/Date(1585551600000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
2,276827,2642269,2642269.0,14226,14226.0,185.73,185.73,9,9.0,2,2,Klassics Music Management Limited,/Date(1585551600000)/,True,Andrea Bocelli,51826,Andrea Bocelli,/artist/andrea-bocelli-51826
3,276838,2262322,2262322.0,15337,15337.0,147.51,147.51,9,9.0,3,3,CDA Productions,/Date(1585551600000)/,True,Celine Dion,45018,Celine Dion,/artist/celine-dion-45018
4,276772,1445696,1445696.0,11284,11284.0,128.11,128.11,8,8.0,4,4,Marshall Arts,/Date(1585551600000)/,True,Cher,44721,Cher,/artist/cher-44721
5,276774,1367135,1367135.0,12060,12060.0,113.36,113.36,8,8.0,5,5,WME,/Date(1585551600000)/,True,Tool,4298,Tool,/artist/tool-4298
6,276859,1250548,1250548.0,14210,14210.0,88.0,88.0,10,10.0,6,6,United Talent Agency,/Date(1585551600000)/,True,Jonas Brothers,28484,Jonas Brothers,/artist/jonas-brothers-28484
7,276773,1100965,1100965.0,16691,16691.0,65.96,65.96,38,38.0,7,7,WME,/Date(1585551600000)/,True,Trans-Siberian Orchestra,3779,Trans-Siberian Orchestra,/artist/trans-siberian-orchestra-3779
8,276769,1051487,1051487.0,9753,9753.0,107.8,107.8,9,9.0,8,8,Cardenas Marketing Network,/Date(1585551600000)/,True,Marc Anthony,22802,Marc Anthony,/artist/marc-anthony-22802
9,276777,974506,974506.0,11490,11490.0,84.81,84.81,8,8.0,9,9,Paradigm Talent Agency,/Date(1585551600000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
10,276826,882088,882088.0,9663,9663.0,91.28,91.28,14,14.0,10,10,,/Date(1585551600000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
