Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,213363,2791730,,29077,,96.01,0,15,,1,1,WME,/Date(1558335600000)/,True,Eric Church,36859,Eric Church,/artist/eric-church-36859
2,213346,2318293,,16757,,138.34,0,10,,3,2,The Howard Rose Agency,/Date(1558335600000)/,True,Elton John,37957,Elton John,/artist/elton-john-37957
3,213317,2117752,,16181,,130.88,0,28,,4,3,WME,/Date(1558335600000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
4,213333,2102293,,17858,,117.72,0,9,,5,4,Artist Group International,/Date(1558335600000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
5,213353,2015325,,13779,,146.25,0,11,,6,5,Creative Artists Agency,/Date(1558335600000)/,True,Fleetwood Mac,35812,Fleetwood Mac,/artist/fleetwood-mac-35812
6,213392,1517024,,12188,,124.47,0,27,,7,6,Beaver Productions,/Date(1558335600000)/,True,Michael Bublé,21052,Michael Bublé,/artist/michael-bubl-21052
7,213368,1332152,,11818,,112.72,0,16,,11,7,ICM Partners,/Date(1558335600000)/,True,Bob Seger & The Silver Bullet Band,64684,Bob Seger & The Silver Bullet Band,/artist/bob-seger-the-silver-bullet-band-64684
8,213407,1327800,,11728,,113.21,0,16,,9,8,Marshall Arts,/Date(1558335600000)/,True,Cher,44721,Cher,/artist/cher-44721
9,213365,1275100,,13389,,95.23,0,19,,New,9,Paradigm Talent Agency,/Date(1558335600000)/,True,Bad Bunny,323105,Bad Bunny,/artist/bad-bunny-323105
10,213394,1233530,,20300,,60.77,0,8,,New,10,WME,/Date(1558335600000)/,True,Arctic Monkeys,51010,Arctic Monkeys,/artist/arctic-monkeys-51010
11,213358,1232200,,11698,,105.33,0,19,,12,11,Creative Artists Agency,/Date(1558335600000)/,True,KISS,26745,KISS,/artist/kiss-26745
12,213371,1190646,,15443,,77.1,0,15,,8,12,United Talent Agency,/Date(1558335600000)/,True,Post Malone,198984,Post Malone,/artist/post-malone-198984
13,213397,1164791,,14121,,82.48,0,14,,14,13,CLG - Cara Lewis Group,/Date(1558335600000)/,True,Travis Scott,179020,Travis Scott,/artist/travis-scott-179020
14,213314,1081829,,14333,,75.48,0,25,,15,14,WME,/Date(1558335600000)/,True,Mumford & Sons,91696,Mumford & Sons,/artist/mumford-sons-91696
15,213408,1044392,,11659,,89.58,0,17,,16,15,Paradigm Talent Agency,/Date(1558335600000)/,True,Blake Shelton,48310,Blake Shelton,/artist/blake-shelton-48310
16,213402,1040213,,9545,,108.98,0,9,,17,16,Cardenas Marketing Network,/Date(1558335600000)/,True,Marc Anthony,22802,Marc Anthony,/artist/marc-anthony-22802
17,213405,995521,,14288,,69.67,0,23,,18,17,Paradigm Talent Agency,/Date(1558335600000)/,True,Shawn Mendes,188938,Shawn Mendes,/artist/shawn-mendes-188938
18,213339,972584,,14224,,68.37,0,14,,20,18,WME,/Date(1558335600000)/,True,Florence + The Machine,85412,Florence + The Machine,/artist/florence-the-machine-85412
19,213349,953200,,11665,,81.71,0,12,,19,19,Paradigm Talent Agency,/Date(1558335600000)/,True,Kenny Chesney,27429,Kenny Chesney,/artist/kenny-chesney-27429
20,213315,946419,,11716,,80.78,0,17,,21,20,,/Date(1558335600000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
21,213327,795184,,13237,,60.07,0,13,,22,21,Creative Artists Agency,/Date(1558335600000)/,True,Panic! At The Disco,16961,Panic! At The Disco,/artist/panic-at-the-disco-16961
22,213313,739635,,9074,,81.51,0,8,,23,22,United Talent Agency,/Date(1558335600000)/,True,Muse,19965,Muse,/artist/muse-19965
