Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,166883,9747235,9591691.0,83500,83228.0,116.73,115.24,22,23.0,1,1,,/Date(1541404800000)/,True,Taylor Swift,62760,Taylor Swift,/artist/taylor-swift-62760
2,166901,8016172,8625605.0,87432,94214.0,91.68,91.55,26,25.0,3,2,Paradigm Talent Agency,/Date(1541404800000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
3,166826,6643206,6623724.0,56523,57117.0,117.53,115.97,37,35.0,4,3,Live Nation / Creative Artists Agency,/Date(1541404800000)/,True,Jay-Z / Beyoncé,29784,Jay-Z,/artist/jay-z-29784
4,166875,4855981,4829763.0,35705,34362.0,136.0,140.56,14,12.0,5,4,,/Date(1541404800000)/,True,U2,2967,U2,/artist/u2-2967
5,166811,4782217,4782217.0,21620,21620.0,221.19,221.19,12,12.0,6,5,CDA Productions,/Date(1541404800000)/,True,Celine Dion,45018,Celine Dion,/artist/celine-dion-45018
6,166882,4378586,4378586.0,35426,35426.0,123.6,123.6,8,8.0,7,6,Artist Group International,/Date(1541404800000)/,True,Billy Joel,48725,Billy Joel,/artist/billy-joel-48725
7,166902,3671517,3671517.0,44931,44931.0,81.71,81.71,13,13.0,9,7,,/Date(1541404800000)/,True,Helene Fischer,102199,Helene Fischer,/artist/helene-fischer-102199
8,166846,2925526,2899138.0,33560,33140.0,87.17,87.48,24,27.0,10,8,Dale Morris & Associates,/Date(1541404800000)/,True,Kenny Chesney,27429,Kenny Chesney,/artist/kenny-chesney-27429
9,166906,2176153,1898502.0,30015,26756.0,72.5,70.95,12,16.0,14,9,WME,/Date(1541404800000)/,True,Dead & Company,203144,Dead & Company,/artist/dead-company-203144
10,166852,2157345,2146959.0,20578,20819.0,104.84,103.12,21,20.0,12,10,WME,/Date(1541404800000)/,True,Justin Timberlake,27685,Justin Timberlake,/artist/justin-timberlake-27685
11,166845,2055306,2223218.0,19930,21861.0,103.12,101.7,8,10.0,11,11,Sensible Events,/Date(1541404800000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
12,166889,1998097,2025030.0,3926,3980.0,508.87,508.7,14,15.0,13,12, / Creative Artists Agency,/Date(1541404800000)/,True,"""Springsteen On Broadway""",556161,"""Springsteen On Broadway""",/artist/springsteen-on-broadway-556161
13,166864,1808196,1754484.0,18305,17810.0,98.78,98.51,43,48.0,15,13,Creative Artists Agency / Artist Group International,/Date(1541404800000)/,True,Def Leppard / Journey,27980,Def Leppard,/artist/def-leppard-27980
14,166893,1670516,1653843.0,20810,20543.0,80.27,80.5,15,17.0,16,14,Creative Artists Agency,/Date(1541404800000)/,True,Iron Maiden,30375,Iron Maiden,/artist/iron-maiden-30375
15,166854,1624043,,18134,,89.56,0.0,11,,101,15,,/Date(1541404800000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
16,166842,1552978,1552978.0,12011,12011.0,129.29,129.29,9,9.0,18,16,Creative Artists Agency,/Date(1541404800000)/,True,Britney Spears,47161,Britney Spears,/artist/britney-spears-47161
17,166858,1509601,1491383.0,16237,16581.0,92.97,89.94,9,9.0,19,17,Creative Artists Agency,/Date(1541404800000)/,True,Shakira,9762,Shakira,/artist/shakira-9762
18,166886,1491571,1621665.0,21825,23734.0,68.34,68.33,29,25.0,17,18,WME,/Date(1541404800000)/,True,Luke Bryan,72091,Luke Bryan,/artist/luke-bryan-72091
19,166900,1458991,1451291.0,13212,13180.0,110.42,110.11,11,10.0,20,19,Creative Artists Agency,/Date(1541404800000)/,True,Paul Simon,18310,Paul Simon,/artist/paul-simon-18310
20,166805,1420469,1380563.0,18094,17479.0,78.5,78.98,17,21.0,21,20,Creative Artists Agency,/Date(1541404800000)/,True,Harry Styles,315762,Harry Styles,/artist/harry-styles-315762
21,166797,1322282,1322282.0,12556,12556.0,105.3,105.3,9,9.0,22,21,Artist Group International,/Date(1541404800000)/,True,Rod Stewart,12030,Rod Stewart,/artist/rod-stewart-12030
