Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,116622,7780885,7780885.0,87820,87820.0,88.6,88.6,14,14.0,2,1,Paradigm Talent Agency,/Date(1507532400000)/,True,Coldplay,43809,Coldplay,/artist/coldplay-43809
2,116621,7356042,8024692.0,64223,69057.0,114.54,116.2,29,27.0,1,2,,/Date(1507532400000)/,True,U2,2967,U2,/artist/u2-2967
3,116620,5937172,6037026.0,58118,59104.0,102.16,102.14,20,19.0,3,3,United Talent Agency,/Date(1507532400000)/,True,Guns N' Roses,32570,Guns N' Roses,/artist/guns-n-roses-32570
4,116618,3684074,3640420.0,25796,25327.0,142.82,143.73,19,20.0,4,4,ICM Partners,/Date(1507532400000)/,True,Celine Dion,45018,Celine Dion,/artist/celine-dion-45018
5,116617,3466727,3455069.0,29370,29161.0,118.04,118.48,15,14.0,5,5,Creative Artists Agency,/Date(1507532400000)/,True,Lady Gaga,74180,Lady Gaga,/artist/lady-gaga-74180
6,116616,3128076,3052902.0,40740,40540.0,76.78,75.3,26,27.0,6,6,WME,/Date(1507532400000)/,True,Depeche Mode,40673,Depeche Mode,/artist/depeche-mode-40673
7,116615,1934271,1934271.0,26321,26321.0,73.49,73.49,14,14.0,7,7,Creative Artists Agency,/Date(1507532400000)/,True,Dead & Company,203144,Dead & Company,/artist/dead-company-203144
8,116614,1712139,1741453.0,14074,14208.0,121.65,122.57,19,18.0,8,8,WME,/Date(1507532400000)/,True,Roger Waters,12078,Roger Waters,/artist/roger-waters-12078
9,116613,1613912,1613912.0,16682,16682.0,96.74,96.74,16,16.0,9,9,WME,/Date(1507532400000)/,True,Tom Petty & The Heartbreakers,4216,Tom Petty & The Heartbreakers,/artist/tom-petty-the-heartbreakers-4216
10,116612,1527343,1527343.0,17592,17592.0,86.82,86.82,11,11.0,10,10,,/Date(1507532400000)/,True,André Rieu,51373,André Rieu,/artist/andr-rieu-51373
11,116611,1495967,1436486.0,17131,16798.0,87.33,85.51,20,23.0,11,11,WME,/Date(1507532400000)/,True,Bruno Mars,143992,Bruno Mars,/artist/bruno-mars-143992
12,116610,1411375,1427243.0,16603,16970.0,85.01,84.1,44,45.0,12,12,Paradigm Talent Agency,/Date(1507532400000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
13,116608,1352462,1338844.0,13210,13229.0,102.38,101.2,19,20.0,14,13,WME,/Date(1507532400000)/,True,Neil Diamond,19149,Neil Diamond,/artist/neil-diamond-19149
14,116606,1263097,1263097.0,12963,12963.0,97.44,97.44,13,13.0,15,14,,/Date(1507532400000)/,True,Queen + Adam Lambert,14115,Queen + Adam Lambert,/artist/queen-adam-lambert-14115
15,116605,1259920,1259920.0,13280,13280.0,94.87,94.87,14,14.0,16,15,Creative Artists Agency / WME,/Date(1507532400000)/,True,Enrique Iglesias / Pitbull,37971,Enrique Iglesias,/artist/enrique-iglesias-37971
16,116604,1205699,1197839.0,14282,14105.0,84.42,84.92,40,31.0,17,16,Creative Artists Agency,/Date(1507532400000)/,True,Tim McGraw / Faith Hill,4554,Tim McGraw,/artist/tim-mcgraw-4554
17,116603,1164889,1164889.0,13105,13105.0,88.88,88.88,15,15.0,18,17,WME,/Date(1507532400000)/,True,Kendrick Lamar,156275,Kendrick Lamar,/artist/kendrick-lamar-156275
18,116601,1077322,1077322.0,13957,13957.0,77.19,77.19,16,16.0,20,18,WME,/Date(1507532400000)/,True,Tool,4298,Tool,/artist/tool-4298
19,116599,1056027,1081894.0,20497,20936.0,51.52,51.68,28,27.0,19,19,WME,/Date(1507532400000)/,True,Florida Georgia Line,155860,Florida Georgia Line,/artist/florida-georgia-line-155860
20,116597,1001478,1001478.0,20893,20893.0,47.93,47.93,15,15.0,23,20,Creative Artists Agency,/Date(1507532400000)/,True,Zac Brown Band,456,Zac Brown Band,/artist/zac-brown-band-456
21,116596,963265,934392.0,13069,12914.0,73.7,72.35,12,14.0,24,21,Creative Artists Agency,/Date(1507532400000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
22,116594,915858,898539.0,13961,13605.0,65.6,66.04,26,30.0,25,22,Creative Artists Agency,/Date(1507532400000)/,True,Iron Maiden,30375,Iron Maiden,/artist/iron-maiden-30375
23,116593,887538,887538.0,16831,16831.0,52.73,52.73,15,15.0,26,23,Partisan Arts,/Date(1507532400000)/,True,Jack Johnson,30592,Jack Johnson,/artist/jack-johnson-30592
24,116592,878299,878299.0,13280,13280.0,66.14,66.14,32,32.0,27,24,Creative Artists Agency,/Date(1507532400000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
25,116591,823907,823907.0,12679,12679.0,64.98,64.98,18,18.0,28,25,Artist Group International,/Date(1507532400000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
26,116590,814963,815087.0,9078,9300.0,89.77,87.64,31,33.0,29,26,Creative Artists Agency,/Date(1507532400000)/,True,Sting,7220,Sting,/artist/sting-7220
27,116589,771241,771241.0,12006,12006.0,64.23,64.23,15,15.0,31,27,The Sixth House / Universal Aguirre,/Date(1507532400000)/,True,Gloria Trevi / Alejandra Guzman,34054,Gloria Trevi,/artist/gloria-trevi-34054
28,116588,766790,766790.0,9819,9819.0,78.09,78.09,12,12.0,32,28,Creative Artists Agency,/Date(1507532400000)/,True,Lionel Richie,24607,Lionel Richie,/artist/lionel-richie-24607
29,116587,756535,764585.0,16118,15490.0,46.94,49.36,17,19.0,33,29,WME,/Date(1507532400000)/,True,Jason Aldean,30325,Jason Aldean,/artist/jason-aldean-30325
30,116586,749067,745573.0,6340,6280.0,118.14,118.71,12,13.0,34,30,ICM Partners (Comedy),/Date(1507532400000)/,True,Jerry Seinfeld,232705,Jerry Seinfeld,/artist/jerry-seinfeld-232705
31,116585,728229,795434.0,8159,8788.0,89.25,90.51,15,16.0,30,31,WME,/Date(1507532400000)/,True,Hans Zimmer,194922,Hans Zimmer,/artist/hans-zimmer-194922
32,116584,710846,697325.0,13560,13118.0,52.42,53.16,33,37.0,36,32,Paradigm Talent Agency,/Date(1507532400000)/,True,Shawn Mendes,188938,Shawn Mendes,/artist/shawn-mendes-188938
33,116583,701725,1018928.0,9067,12854.0,77.39,79.27,37,14.0,22,33,ICM Partners,/Date(1507532400000)/,True,J. Cole,133106,J. Cole,/artist/j-cole-133106
