Count,ID,AvgGross,LastWeekAvgGross,AvgTixSold,LastWeekAvgTixSold,AvgTixPrice,LastWeekAvgTixPrice,Cities,LastWeekCities,LastWeek,ThisWeek,AgtName,WeekOfDate,ShowData,Artist,ArtistDetail_id,ArtistDetail_name,ArtistDetail_url
1,238488,13544597,13544597.0,59299,59299.0,228.41,228.41,8,8.0,1,1,,/Date(1568617200000)/,True,The Rolling Stones,12116,The Rolling Stones,/artist/the-rolling-stones-12116
2,238544,7841775,7794393.0,89634,90647.0,87.49,85.99,17,19.0,3,2,Paradigm Talent Agency,/Date(1568617200000)/,True,Ed Sheeran,94191,Ed Sheeran,/artist/ed-sheeran-94191
3,238509,6641718,6641718.0,60191,60191.0,110.34,110.34,14,14.0,4,3,Marshall Arts,/Date(1568617200000)/,True,Pink,15935,Pink,/artist/pink-15935
4,238482,5228960,,53247,,98.2,0.0,17,,New,4,Artist Group International,/Date(1568617200000)/,True,Metallica,21654,Metallica,/artist/metallica-21654
5,238534,4736387,4736387.0,30478,30478.0,155.4,155.4,10,10.0,5,5,Marshall Arts,/Date(1568617200000)/,True,Paul McCartney,16628,Paul McCartney,/artist/paul-mccartney-16628
6,238523,3892630,3724200.0,47476,45528.0,81.99,81.8,16,17.0,6,6,United Talent Agency,/Date(1568617200000)/,True,Muse,19965,Muse,/artist/muse-19965
7,238559,2919881,2919881.0,32920,32920.0,88.69,88.69,14,14.0,7,7,WME,/Date(1568617200000)/,True,Dead & Company,203144,Dead & Company,/artist/dead-company-203144
8,238499,2383648,2188760.0,17666,16417.0,134.92,133.32,11,14.0,9,8,Creative Artists Agency,/Date(1568617200000)/,True,Eagles,38478,Eagles,/artist/eagles-38478
9,238474,2226025,2226025.0,16242,16242.0,137.05,137.05,24,24.0,8,9,Creative Artists Agency,/Date(1568617200000)/,True,Jennifer Lopez,29383,Jennifer Lopez,/artist/jennifer-lopez-29383
10,238473,2053497,2053497.0,31473,31473.0,65.24,65.24,10,10.0,10,10,Paradigm Talent Agency,/Date(1568617200000)/,True,Phish,15753,Phish,/artist/phish-15753
11,238516,2012197,1980436.0,16843,16645.0,119.46,118.98,19,20.0,11,11,Creative Artists Agency,/Date(1568617200000)/,True,Ariana Grande,167474,Ariana Grande,/artist/ariana-grande-167474
12,238461,1984263,1726711.0,16205,14968.0,122.45,115.36,12,11.0,17,12,United Talent Agency,/Date(1568617200000)/,True,Jonas Brothers,28484,Jonas Brothers,/artist/jonas-brothers-28484
13,238458,1946470,1936971.0,15730,15693.0,123.74,123.42,9,10.0,12,13,Creative Artists Agency,/Date(1568617200000)/,True,Queen + Adam Lambert,14115,Queen + Adam Lambert,/artist/queen-adam-lambert-14115
14,238451,1603299,1600983.0,15027,15114.0,106.69,105.93,17,16.0,18,14,WME,/Date(1568617200000)/,True,John Mayer,28275,John Mayer,/artist/john-mayer-28275
15,238518,1554865,,12720,,122.24,0.0,9,,New,15,Artist Group International,/Date(1568617200000)/,True,Def Leppard,41191,Def Leppard,/artist/def-leppard-41191
16,238468,1524032,1735723.0,13222,15369.0,115.26,112.94,18,20.0,16,16,Beaver Productions,/Date(1568617200000)/,True,Michael Bublé,21052,Michael Bublé,/artist/michael-bubl-21052
17,238533,1473290,1542918.0,14464,15405.0,101.85,100.15,8,10.0,19,17,WME,/Date(1568617200000)/,True,Hugh Jackman,228040,Hugh Jackman,/artist/hugh-jackman-228040
18,238492,1424394,1452313.0,19850,20373.0,71.76,71.28,17,16.0,20,18,Paradigm Talent Agency,/Date(1568617200000)/,True,Dave Matthews Band,41941,Dave Matthews Band,/artist/dave-matthews-band-41941
19,238503,1371330,1906219.0,14412,19452.0,95.15,98.0,10,13.0,13,19,Paradigm Talent Agency,/Date(1568617200000)/,True,Take That,5961,Take That,/artist/take-that-5961
20,238529,1335082,1335082.0,18823,18823.0,70.92,70.92,18,18.0,21,20,WME,/Date(1568617200000)/,True,Florida Georgia Line,155860,Florida Georgia Line,/artist/florida-georgia-line-155860
21,238450,1288453,1288453.0,22254,22254.0,57.9,57.9,10,10.0,22,21,WME,/Date(1568617200000)/,True,Zac Brown Band,456,Zac Brown Band,/artist/zac-brown-band-456
22,238556,1194492,1234097.0,11500,11714.0,103.86,105.35,11,12.0,23,22,Creative Artists Agency,/Date(1568617200000)/,True,Jeff Lynne's ELO,206245,Jeff Lynne's ELO,/artist/jeff-lynnes-elo-206245
23,238481,1188271,1171520.0,13337,13253.0,89.09,88.39,38,41.0,24,23,WME,/Date(1568617200000)/,True,Backstreet Boys,50237,Backstreet Boys,/artist/backstreet-boys-50237
24,238491,1150452,1094882.0,15890,15144.0,72.4,72.3,41,37.0,25,24,Paradigm Talent Agency,/Date(1568617200000)/,True,Shawn Mendes,188938,Shawn Mendes,/artist/shawn-mendes-188938
